episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank
1065,11 de junio de 2023,Atsuhiro Tomioka,,Shigefumi Shingaki y Kimitaka Itō,Hazuki Omoya,,
1066,25 de junio de 2023,Akiko Inoue,,Masahiro Kitazaki y Henry ThurlowKimitaka Itō(Asistente),Henry Thurlow,,
1067,2 de julio de 2023,Shinzō Fujita,,Kenji Yokoyama,Kenichi Takeshita,,
1068,9 de julio de 2023,Hitoshi Tanaka,,Masahiro Shimanuki y Toshio DeguchiKazuya Hisada(Asistente),Shō Matsui(Guion gráfico por Yutaka Nakashima y Shō Matsui),,
1069,16 de julio de 2023,Tomohiro Nakayama,,Masayuki Takagi,Shō Inuzuka(Guion gráfico por Toshinori Fukuzawa y Shō Inuzuka),,
1070,30 de julio de 2023,Ryo Yamazaki,,Shūichi Itō,Yusuke Suzuki,,
1071,6 de agosto de 2023,Atsuhiro Tomioka,,Midori Matsuda y Keita SaitōTakashi Kojima(Asistente)Masayuki Satō(Asistente)Yong-Ce Tu(Asistente),Tatsuya Nagamine,,
1072,13 de agosto de 2023,Akiko Inoue,,"Nobuyuki Iwai, Keisuke Mori, Kimitaka Itō y Shigefumi ShingakiBahi JD(Asistente)Yong-Ce Tu(Asistente)Ryō Ōnishi(Asistente)Akihiro Ōta(Asistente)Masayuki Satō(Asistente)","Tasuku Shimaya(Guion gráfico por Tasuku Shimaya, Megumi Ishitani, Bahi JD, Yong-Ce Tu y Takeshi Maenami)",,
1073,20 de agosto de 2023,Shinzō Fujita,,Mamoru Yokota,Katsumi Tokoro,,
1074,3 de septiembre de 2023,Hitoshi Tanaka,,"Kazuya Hisada, Sōta Shigetsugu y Shū Sugita",Nanami Michibata(Guion gráfico por Masahiro Hosoda y Sota Shigetsugu),,
1075,10 de septiembre de 2023,Tomohiro Nakayama,,Yong-Ce Tu y Masahiro Kitazaki,Yasunori Koyama,,
1076,17 de septiembre de 2023,Shōji Yonemura,,Yong-Ce Tu y Ziwei He,Satoshi Itō,,
1077,24 de septiembre de 2023,Ryo Yamazaki,,Toshio Deguchi y Masahiro ShimanukiYong-Ce Tu(Asistente),Hazuki Omoya,,
1078,1 de octubre de 2023,Atsuhiro Tomioka,,Kenji Yokoyama,Toshinori Fukuzawa,,
1079,16 de octubre de 2023,Akiko Inoue,,Masayuki TakagiEisaku Inoue(Asistente),Yusuke Suzuki,,
1080,22 de octubre de 2023,Shinzō Fujita,,Shūichi Itō y Toshio DeguchiKatsumi Ishizuka(Asistente)Kenji Yokoyama(Asistente),Ryōta Nakamura,,
1081,29 de octubre de 2023,Hitoshi Tanaka,,Shigefumi Shingaki,Shō Matsui,,
1082,5 de noviembre de 2023,Tomohiro Nakayama,,Keita Saitō y Kimitaka Itō,Shō Inuzuka,,
1083,12 de noviembre de 2023,Shōji Yonemura,,Kazuya Hisada,Katsumi Tokoro,,
1084,19 de noviembre de 2023,Shōji Yonemura,,Masahiro Kitazaki,Kenichi Takeshita,,
1085,26 de noviembre de 2023,Ryo Yamazaki,,Mamoru Yokota,Toshinori Fukuzawa,,
1086,3 de diciembre de 2023,Atsuhiro Tomioka,Momoko Fujikura,Masahiro Shimanuki,Tasuku Shimaya,3.2,9
1087,10 de diciembre de 2023,Akiko Inoue,Dhavee Morato,Yong-Ce Tu y Toshio Deguchi,Hazuki Omoya,3.2,7
1088,17 de diciembre de 2023,Shinzō Fujita,Tongnian Chen,Kenji Yokoyama,Tatsuya Nagamine,3.2,8
1089,7 de enero de 2024,Hitoshi Tanaka,Guo Wei Huang y Dino Santos,"He Ziwei, Shūichi Itō, Keisuke Mori y Midori Matsuda",Nozomu Shishido,3.3,8
1090,14 de enero de 2024,Tomohiro Nakayama,Momoko Fujikura,Masayuki Takagi,Yusuke Suzuki,3.7,8
1091,21 de enero de 2024,Shōji Yonemura,Midori Tanaka y Nagisa Nishida,Kimitaka Itō y Keita Saitō,Shō Matsui,3.2,7
1092,28 de enero de 2024,Ryo Yamazaki,Dhavee Morato,Shigefumi Shingaki,Katsumi Tokoro,3.5,5
1093,11 de febrero de 2024,Atsuhiro Tomioka,Tongnian Chen,Kazuya Hisada y Katsumi Ishizuka,Shō Inuzuka,2.9,7
1094,18 de febrero de 2024,Akiko Inoue,Dino Santos,Masahiro Kitazaki,Yasuhiro Tanabe,3.1,10
1095,25 de febrero de 2024,Shinzō Fujita,Momoko Fujikura,Toshio Deguchi y Grand Guerrila,Hyun Ieri,3.0,8
1096,3 de marzo de 2024,Hitoshi Tanaka,Natsuki Takeda y Nagisa Nishida,Masahiro Shimanuki,Tasuku Shimaya,3.2,7
1097,17 de marzo de 2024,Tomohiro Nakayama,Dhavee Morato,Kenji Yokoyama,Hazuki Omoya,3.1,6
1098,24 de marzo de 2024,Shōji Yonemura,Tongnian Chen,Shūichi Itō,Toshinori Fukuzawa,3.1,5
1099,31 de marzo de 2024,Ryo Yamazaki,Dino Santos,Masayuki Takagi,Kenichi Takeshita,2.9,5
1100,7 de abril de 2024,Atsuhiro Tomioka,Midori Tanaka,"Hiroyasu Oda, Keita Saitō, Kimitaka Itō y Keisuke Mori",Nozomu Shishido,3.0,7
1101,21 de abril de 2024,Akiko Inoue,Nagisa Nishida y Natsuki Takeda,Yong-Ce Tu y He Ziwei,Wataru Matsumi,,
1102,28 de abril de 2024,Shinzō Fujita,Dhavee Morato,Shigefumi Shingaki,Yusuke Suzuki,2.6,7
1103,5 de mayo de 2024,Hitoshi Tanaka,Jiao Mou,Kazuya Hisada,Katsumi Tokoro,2.6,10
1104,12 de mayo de 2024,Tomohiro Nakayama,Dhavee Morato,Masahiro Kitazaki,Shō Matsui,2.7,8
1105,19 de mayo de 2024,Shōji Yonemura,Momoko Fujikura,Toshio Deguchi y Grand Guerrilla,Hazuki Omoya,2.9,7
1106,26 de mayo de 2024,Ryo Yamazaki,Natsuki Takeda y Nagisa Nishida,Eisaku Inoue,Eri Hyun,2.8,6
1107,2 de junio de 2024,Akiko Inoue,Dhavee Morato,Kenji Yokoyama,Tasuku Shimaya,2.7,6
1108,9 de junio de 2024,Shinzō Fujita,Jiao Mou,Masahiro ShimanukiShin Kashiwaguma(Asistente)Hiroto Saitō(Asistente),Atsuki Yamai,2.8,7
1109,23 de junio de 2024,Jin Tanaka,Dino Santos,Masayuki TakagiEisaku Inoue(Asistente),Nanami Michibata,3.5,5
1110,30 de junio de 2024,Tomohiro Nakayama,Tongnian Chen,Shūichi ItōNobuyuki Iwai,Katsumi Tokoro,2.7,8
1111,7 de julio de 2024,Shōji Yonemura,Dhavee Morato,"Keita Saitō, Kimitaka Itō y Keisuke Mori",Toshinori Fukuzawa,2.9,4
1112,14 de julio de 2024,Ryo Yamazaki,Natsuki Takeda y Nagisa Nishida,Yong-Ce Tu y He Ziwei,Wataru Matsumi,3.1,4
1113,28 de julio de 2024,Atsuhiro Tomioka,Jiao Mou,"Shigefumi Shingaki, Toshio Deguchi y Masahiro Kitazaki (asistente)",Yusuke Suzuki,2.7,5
1114,4 de agosto de 2024,Akiko Inoue,Dino Santos,Kazuya HisadaSōta ShigetsuguKatsumi Ishizuka,Hazuki Omoya(Guion gráfico por Hazuki Omoya y Katsumi Ishizuka),2.7,6
1115,11 de agosto de 2024,Shinzō Fujita,Momoko Fujikura,"Masahiro Kitazaki, Hiroyasu Oda, Sōta Shigetsugu, Ririka Fukatani, Chiharu Akakura y Grand Guerrilla",Nozomu Shishido,2.7,4
1116,18 de agosto de 2024,Hitoshi Tanaka,"Natsuki Takeda, Yuko Doi y Eiji Hamano",Eisaku Inoue,Hyun Ieri(Guion gráfico por Satoshi Itō y Hyun Ieri),2.9,5
1117,01 de septiembre de 2024,Tomohiro Nakayama,Dhavee Morato,Kenji Yokoyama,Tasuku Shimaya(Guion gráfico por Hazuki Omoya y Tasuku Shimaya),2.8,7
1118,8 de septiembre de 2024,Shōji Yonemura,Jiao Mou,Masayuki Takagi,Kenichi Takeshita,2.5,9
1119,15 de septiembre de 2024,Ryo Yamazaki,Dino Santos,He Ziwei y Masahiro Shimanuki,Yasuhiro Tanabe,2.5,9
1120,22 de septiembre de 2024,Atsuhiro Tomioka,"Natsuki Takeda, Eiji Hamano y Yuko Doi",Shūichi Itō y Toshio Deguchi,Katsumi Tokoro,2.8,6
1121,06 de octubre de 2024,Akiko Inoue,Dhavee Morato,Masahiro Kitazaki y Yong-Ce Tu,Shō Matsui,2.5,8
1122,13 de octubre de 2024,Shinzō Fujita,Jiao Mou,"Kazuya Hisada, Keita Saitō, Katsumi Ishizuka, Hiroyasu Oda y Chiharu Akakura.Akihiro Ota y Ririka Fukatani (Asistentes)",Yasunori Koyama,2.5,10
1123,05 de abril de 2025,Shōji Yonemura,Dhavee Morato y Huang Guo Wei,Kenji Yokoyama,Satoshi Itō,3.9,5
1124,06 de abril de 2025,Jin Tanaka,Dino Santos,Eisaku Inoue,Aimi Yamauchi,3.7,6
1125,13 de abril de 2025,Tomohiro Nakayama,Dhavee Morato,Masayuki Takagi y Katsumi Ishizuka,Yasushi Tomoda,3.1,7
1126,20 de abril de 2025,Atsuhiro Tomioka,Dino Santos,Toshio Deguchi y Masahiro Kitazaki,Hazuki Omoya,2.8,6
1127,27 de abril de 2025,Akiko Inoue,Dhavee Morato,Yong-ce Tu y He Ziwei,Wataru Matsumi,2.9,6
1128,04 de mayo de 2025,Shinzō Fujita,Dino Santos,Shin Kashiwaguma,Nozomu Shishido,3.2,6
1129,18 de mayo de 2025,Shōji Yonemura,Momoko Fujikura,Keita SaitōKimitaka ItōRina FujiiRirika FukataniKatsumi IshizukaNeru Takuyama,Tasuku Shimaya,2.9,95
1130,25 de mayo de 2025,Jin Tanaka,Dhavee Morato,Kazuya Hisada y Keisuke Mori,Hyun Ieri,,
1131,1 de junio de 2025,Tomohiro Nakayama,Dino Santos,Masahiro Kitazaki,Katsumi Tokoro,2.9,7
1132,8 de junio de 2025,Ryo Yamazaki,Miho Kawakami,Shigefumi Shingaki y Shūichi Itō,Shō Inuzuka,,
1133,15 de junio de 2025,Atsuhiro Tomioka,Dhavee Morato y Yuko Doi,Eisaku Inoue,Toshinori Fukuzawa,,
1134,29 de junio de 2025,Akiko Inoue,Momoko Fujikura,Masayuki Takagi y Toshio Deguchi,Hazuki Omoya,,
1135,6 de julio de 2025,Shinzō Fujita,Dino Santos y Midori Tanaka,Kenji Yokoyama,Shō Matsui y Wataru Matsumi,,
1136,13 de julio de 2025,Shōji Yonemura,Miho Kawakami,Keisuke MoriHiroto SaitōKimitaka ItōMasayuki Satō,Yasunori Koyama,,
1137,27 de julio de 2025,Jin Tanaka,Dhavee Morato,Yong-Ce Tu y He Ziwei,Wataru Matsumi,,
1138,03 de agosto de 2025,Tomohiro Nakayama,Momoko Fujikura,Masahiro Kitazaki,Tomohiro Higashi,,
1139,10 de agosto de 2025,Ryo Yamazaki,Tomomi Iwase,Kazuya Hisada,Yusuke Suzuki,,
1140,17 de agosto de 2025,Atsuhiro Tomioka,Dino SantosErwin SadiaUli SamañiegoYuko Doi,Nubuyuki Iwai y Keita Saitō,Yasuhiro Tanabe,,
1141,24 de agosto de 2025,Akiko Inoue,Ryūta Hayashi,Shigefumi ShingakiShūichi ItōZhiguang Liu,Hyun Ieri,2.3,7
1142,07 de septiembre de 2025,Shinzō Fujita,Dhavee Morato,Eisaku Inoue,Atsuo Yamai,,
1143,14 de septiembre de 2025,Shōji Yonemura,Momoko Fujikura,Toshio DeguchiYuki Yoshida,Hazuki Omoya,,
1144,21 de septiembre de 2025,Jin Tanaka,Tomomi Iwase,Shin KashiwagumaKatsumi IshizukaYong-ce Tu,Toshinori Fukuzawa,,
1145,28 de septiembre de 2025,Tomohiro Nakayama,Dino SantosErwin SadiaUli Samañiego,Masayuki Takagi,Kenichi Takeshita,,
1146,19 de octubre de 2025,Ryō Yamazaki,Dhavee Morato,Kenji Yokoyama,Shō Inuzuka,,
1147,26 de octubre de 2025,Atsuhiro Tomioka,Momoko Fujikura,Masahiro Kitazaki,Katsumi Tokoro,,
1148,02 de noviembre de 2025,Akiko Inoue,Tomomi IwaseMidori Tanaka,Kazuya Hisada,Yusuke Suzuki,,
1149,09 de noviembre de 2025,Shinzō Fujita,Dino SantosYuko Doi,Hiroto SaitōYuki Yoshida,Shō Matsui,,
1150,16 de noviembre de 2025,Shōji Yonemura,Dhavee Morato,Eisaku InoueKeita SaitōKimitaka Itō,Tomohiro Higashi,,
1151,30 de noviembre de 2025,Jin Tanaka,Momoko FujikuraEmiko Chō,Zhiguang LiuMasahiro Shimanuki,Hyun Ieri,,
1152,7 de diciembre de 2025,Tomohiro Nakayama,Tomomi IwaseSatomi Tanaka,Yong-Ce TuHe Ziwei,Nozomu Shishido,,
1153,14 de diciembre de 2025,Ryo Yamazaki,Dino SantosYuko Doi,Toshio DeguchiWang Runze,Hazuki Omoya,,
1154,21 de diciembre de 2025,Atsuhiro Tomioka,Dhavee Morato,Masahiro KitazakiShigefumi Shingaki,Satoshi Itō,,
1155,28 de diciembre de 2025,Akiko Inoue,Emiko Cho,Shūichi Itō,Atsuo YamaiYasunori Koyama,,
